Depth;Value;Metodo
593.0;0.040238827;BPF
593.5;0.040993284;BPF
594.0;0.04166914;BPF
594.5;0.04225875;BPF
595.0;0.042762563;BPF
595.5;0.043176945;BPF
596.0;0.043498985;BPF
596.5;0.04372866;BPF
597.0;0.04385958;BPF
597.5;0.043895606;BPF
598.0;0.04382889;BPF
598.5;0.043663993;BPF
599.0;0.043395072;BPF
599.5;0.043024305;BPF
600.0;0.042548504;BPF
600.5;0.041968465;BPF
601.0;0.04128273;BPF
601.5;0.040490538;BPF
602.0;0.039593197;BPF
602.5;0.0385884;BPF
603.0;0.03747988;BPF
603.5;0.03626533;BPF
604.0;0.034948193;BPF
604.5;0.03352672;BPF
605.0;0.03200538;BPF
605.5;0.030381916;BPF
606.0;0.02866144;BPF
606.5;0.026842795;BPF
607.0;0.024930093;BPF
607.5;0.022925679;BPF
608.0;0.020831631;BPF
608.5;0.018652234;BPF
609.0;0.016388228;BPF
609.5;0.014046431;BPF
610.0;0.011625767;BPF
610.5;0.009135244;BPF
611.0;0.0065735006;BPF
611.5;0.003949137;BPF
612.0;0.001264281;BPF
612.5;-0.0014752531;BPF
613.0;-0.0042645065;BPF
613.5;-0.007099549;BPF
614.0;-0.009973065;BPF
614.5;-0.012882334;BPF
615.0;-0.01581862;BPF
615.5;-0.018779065;BPF
616.0;-0.021755457;BPF
616.5;-0.024742354;BPF
617.0;-0.027733292;BPF
617.5;-0.030721724;BPF
618.0;-0.033700902;BPF
618.5;-0.036664862;BPF
619.0;-0.039604593;BPF
619.5;-0.042517073;BPF
620.0;-0.04538866;BPF
620.5;-0.048219427;BPF
621.0;-0.050995592;BPF
621.5;-0.05371476;BPF
622.0;-0.056366775;BPF
622.5;-0.05894292;BPF
623.0;-0.061440077;BPF
623.5;-0.0638424;BPF
624.0;-0.06615578;BPF
624.5;-0.068353236;BPF
625.0;-0.07044728;BPF
625.5;-0.0724141;BPF
626.0;-0.074257776;BPF
626.5;-0.07596394;BPF
627.0;-0.0775265;BPF
627.5;-0.07894196;BPF
628.0;-0.08019323;BPF
628.5;-0.08128843;BPF
629.0;-0.08219747;BPF
629.5;-0.0829377;BPF
630.0;-0.08348211;BPF
630.5;-0.08383873;BPF
631.0;-0.08399117;BPF
631.5;-0.08393699;BPF
632.0;-0.083670855;BPF
632.5;-0.083180234;BPF
633.0;-0.08246997;BPF
633.5;-0.08151554;BPF
634.0;-0.08033281;BPF
634.5;-0.07889745;BPF
635.0;-0.07721951;BPF
635.5;-0.07528315;BPF
636.0;-0.073090106;BPF
636.5;-0.070632815;BPF
637.0;-0.06790674;BPF
637.5;-0.064910494;BPF
638.0;-0.061631378;BPF
638.5;-0.0580786;BPF
639.0;-0.054236755;BPF
639.5;-0.050114334;BPF
640.0;-0.04569953;BPF
640.5;-0.04099776;BPF
641.0;-0.036000017;BPF
641.5;-0.03071164;BPF
642.0;-0.025123538;BPF
642.5;-0.01923864;BPF
643.0;-0.01305605;BPF
643.5;-0.0065738033;BPF
644.0;2.03755E-4;BPF
644.5;0.007281636;BPF
645.0;0.014651939;BPF
645.5;0.022323314;BPF
646.0;0.030281443;BPF
646.5;0.03854144;BPF
647.0;0.047084954;BPF
647.5;0.055923272;BPF
648.0;0.06504345;BPF
648.5;0.07444644;BPF
649.0;0.08412878;BPF
649.5;0.09408173;BPF
650.0;0.10431142;BPF
650.5;0.11479711;BPF
651.0;0.12555635;BPF
651.5;0.13655949;BPF
652.0;0.1478246;BPF
652.5;0.15932627;BPF
653.0;0.17106992;BPF
653.5;0.18304391;BPF
654.0;0.19524002;BPF
654.5;0.20765953;BPF
655.0;0.22027956;BPF
655.5;0.23311499;BPF
656.0;0.24613184;BPF
656.5;0.25934857;BPF
657.0;0.27273357;BPF
657.5;0.28629342;BPF
658.0;0.300011;BPF
658.5;0.31387854;BPF
659.0;0.32789183;BPF
659.5;0.3420303;BPF
660.0;0.35630047;BPF
660.5;0.3706732;BPF
661.0;0.3851595;BPF
661.5;0.3997306;BPF
662.0;0.41438708;BPF
