POZO;DELTA;DELTA ABSOLUTO;CURVA_REGISTRO;CURVA_INVERSION;CORRELACION;INTERVALO_FT;SIGNO_ESPERADO;CONSISTENCIA;LISTA
GALA-11;10.37;10.37;PERM;VPVS_SH-60;0.798;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
GALA-11;10.37;10.37;POR;VPVS_SH-60;0.673;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
GALA-11;10.37;10.37;GR;IP_SH-60;0.174;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
GALA-11;10.37;10.37;VSH;IP_SH-60;0.0182;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
GALA-11;10.37;10.37;POR;IP_SH-60;-0.188;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
GALA-11;10.37;10.37;PERM;IP_SH-60;-0.229;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
GALA-11;10.37;10.37;VSH;VPVS_SH-60;-0.669;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
GALA-11;10.37;10.37;GR;VPVS_SH-60;-0.709;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-104;-10.78;10.78;POR;VPVS_SH-60;0.075;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-104;-10.78;10.78;POR;IP_SH-60;0.021;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-104;-10.78;10.78;VSH;IP_SH-60;-0.118;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-104;-10.78;10.78;VSH;VPVS_SH-60;-0.157;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-104;-10.78;10.78;PERM;VPVS_SH-60;-0.163;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-104;-10.78;10.78;PERM;IP_SH-60;-0.189;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-104;-10.78;10.78;GR;IP_SH-60;-0.201;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-104;-10.78;10.78;GR;VPVS_SH-60;-0.282;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-93;12.06;12.06;GR;IP_SH-60;0.39;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-93;12.06;12.06;POR;VPVS_SH-60;0.17;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-93;12.06;12.06;GR;VPVS_SH-60;0.161;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-93;12.06;12.06;PERM;VPVS_SH-60;0.095;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-93;12.06;12.06;VSH;IP_SH-60;0.085;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-93;12.06;12.06;POR;IP_SH-60;-0.092;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-93;12.06;12.06;PERM;IP_SH-60;-0.168;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-93;12.06;12.06;VSH;VPVS_SH-60;-0.2;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-37;-12.2;12.2;PERM;IP_SH-60;0.56;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-37;-12.2;12.2;POR;IP_SH-60;0.477;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-37;-12.2;12.2;POR;VPVS_SH-60;0.336;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-37;-12.2;12.2;PERM;VPVS_SH-60;0.223;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-37;-12.2;12.2;GR;VPVS_SH-60;-0.285;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-37;-12.2;12.2;VSH;VPVS_SH-60;-0.342;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-37;-12.2;12.2;VSH;IP_SH-60;-0.472;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-37;-12.2;12.2;GR;IP_SH-60;-0.526;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
GALA-1K;12.28;12.28;VSH;VPVS_SH-60;0.321;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
GALA-1K;12.28;12.28;GR;VPVS_SH-60;0.271;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
GALA-1K;12.28;12.28;VSH;IP_SH-60;0.2;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
GALA-1K;12.28;12.28;GR;IP_SH-60;0.121;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
GALA-1K;12.28;12.28;POR;IP_SH-60;-0.366;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
GALA-1K;12.28;12.28;POR;VPVS_SH-60;-0.458;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
GALA-1K;12.28;12.28;PERM;IP_SH-60;-0.464;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
GALA-1K;12.28;12.28;PERM;VPVS_SH-60;-0.49;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
LLANITO-1;13.19;13.19;GR;IP_SH-60;0.302;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
LLANITO-1;13.19;13.19;VSH;IP_SH-60;0.302;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
LLANITO-1;13.19;13.19;VSH;VPVS_SH-60;0.165;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
LLANITO-1;13.19;13.19;GR;VPVS_SH-60;0.107;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
LLANITO-1;13.19;13.19;PERM;VPVS_SH-60;0.068;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;MOD_PSDM
LLANITO-1;13.19;13.19;PERM;IP_SH-60;-0.102;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
LLANITO-1;13.19;13.19;POR;VPVS_SH-60;-0.156;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
LLANITO-1;13.19;13.19;POR;IP_SH-60;-0.297;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
LLANITO-136;-15.4;15.4;PERM;VPVS_SH-60;0.274;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-136;-15.4;15.4;GR;IP_SH-60;0.26;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-136;-15.4;15.4;VSH;IP_SH-60;0.215;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-136;-15.4;15.4;PERM;IP_SH-60;0.194;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-136;-15.4;15.4;POR;VPVS_SH-60;0.125;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-136;-15.4;15.4;POR;IP_SH-60;-0.237;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-136;-15.4;15.4;GR;VPVS_SH-60;-0.25;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-136;-15.4;15.4;VSH;VPVS_SH-60;-0.26;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-100;-16.19;16.19;PERM;IP_SH-60;0.261;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-100;-16.19;16.19;POR;IP_SH-60;0.255;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-100;-16.19;16.19;VSH;VPVS_SH-60;0.079;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-100;-16.19;16.19;GR;VPVS_SH-60;0.06;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-100;-16.19;16.19;POR;VPVS_SH-60;-0.077;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-100;-16.19;16.19;PERM;VPVS_SH-60;-0.088;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-100;-16.19;16.19;VSH;IP_SH-60;-0.232;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-100;-16.19;16.19;GR;IP_SH-60;-0.233;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
BERLIN-2;17.17;17.17;PERM;VPVS_SH-60;0.559;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
BERLIN-2;17.17;17.17;POR;VPVS_SH-60;0.454;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
