POZO;DELTA;DELTA ABSOLUTO;CURVA_REGISTRO;CURVA_INVERSION;CORRELACION;INTERVALO_FT;SIGNO_ESPERADO;CONSISTENCIA;LISTA
LLANITO-18;-6.47;6.47;PERM;IP_SH60;-0.215;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-18;-6.47;6.47;PERM;VPVS_SH60;-0.331;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
GALA-11;10.37;10.37;VSH;IP_SH60;0.187;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
GALA-11;10.37;10.37;VSH;VPVS_SH60;0.16;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
GALA-11;10.37;10.37;GR;VPVS_SH60;0.146;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
GALA-11;10.37;10.37;GR;IP_SH60;0.123;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
GALA-11;10.37;10.37;POR;VPVS_SH60;-0.162;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
GALA-11;10.37;10.37;POR;IP_SH60;-0.189;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
GALA-11;10.37;10.37;PERM;IP_SH60;-0.215;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
GALA-11;10.37;10.37;PERM;VPVS_SH60;-0.331;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-104;-10.78;10.78;VSH;IP_SH60;0.522;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-104;-10.78;10.78;VSH;VPVS_SH60;0.487;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-104;-10.78;10.78;GR;VPVS_SH60;0.431;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-104;-10.78;10.78;GR;IP_SH60;0.414;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-104;-10.78;10.78;POR;VPVS_SH60;-0.495;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-104;-10.78;10.78;PERM;IP_SH60;-0.529;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-104;-10.78;10.78;PERM;VPVS_SH60;-0.539;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-104;-10.78;10.78;POR;IP_SH60;-0.543;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-93;12.06;12.06;PERM;VPVS_SH60;0.05;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-93;12.06;12.06;POR;VPVS_SH60;0.035;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-93;12.06;12.06;GR;IP_SH60;0.024;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-93;12.06;12.06;GR;VPVS_SH60;0.024;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-93;12.06;12.06;VSH;IP_SH60;-0.01;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-93;12.06;12.06;POR;IP_SH60;-0.044;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-93;12.06;12.06;VSH;VPVS_SH60;-0.087;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-93;12.06;12.06;PERM;IP_SH60;-0.094;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-37;-12.2;12.2;VSH;IP_SH60;0.385;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-37;-12.2;12.2;GR;IP_SH60;0.375;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-37;-12.2;12.2;PERM;VPVS_SH60;0.168;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-37;-12.2;12.2;VSH;VPVS_SH60;0.103;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-37;-12.2;12.2;GR;VPVS_SH60;0.029;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-37;-12.2;12.2;POR;VPVS_SH60;-0.097;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-37;-12.2;12.2;PERM;IP_SH60;-0.28;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-37;-12.2;12.2;POR;IP_SH60;-0.388;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
GALA-1K;12.28;12.28;VSH;IP_SH60;0.408;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
GALA-1K;12.28;12.28;GR;VPVS_SH60;0.259;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
GALA-1K;12.28;12.28;VSH;VPVS_SH60;0.225;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
GALA-1K;12.28;12.28;GR;IP_SH60;0.208;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
GALA-1K;12.28;12.28;PERM;VPVS_SH60;-0.012;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
GALA-1K;12.28;12.28;POR;VPVS_SH60;-0.097;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
GALA-1K;12.28;12.28;PERM;IP_SH60;-0.288;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
GALA-1K;12.28;12.28;POR;IP_SH60;-0.436;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
LLANITO-1;13.19;13.19;VSH;IP_SH60;0.684;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
LLANITO-1;13.19;13.19;GR;IP_SH60;0.595;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
LLANITO-1;13.19;13.19;VSH;VPVS_SH60;0.454;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
LLANITO-1;13.19;13.19;GR;VPVS_SH60;0.375;MTOMC - MTEE;POSITIVO;CONSISTENTE;MOD_PSDM
LLANITO-1;13.19;13.19;PERM;VPVS_SH60;-0.315;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
LLANITO-1;13.19;13.19;POR;VPVS_SH60;-0.451;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
LLANITO-1;13.19;13.19;PERM;IP_SH60;-0.501;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
LLANITO-1;13.19;13.19;POR;IP_SH60;-0.681;MTOMC - MTEE;NEGATIVO;CONSISTENTE;MOD_PSDM
LLANITO-136;-15.4;15.4;GR;VPVS_SH60;0.589;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-136;-15.4;15.4;VSH;VPVS_SH60;0.578;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-136;-15.4;15.4;GR;IP_SH60;0.465;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-136;-15.4;15.4;VSH;IP_SH60;0.419;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-136;-15.4;15.4;PERM;IP_SH60;-0.362;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-136;-15.4;15.4;POR;IP_SH60;-0.376;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-136;-15.4;15.4;POR;VPVS_SH60;-0.446;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-136;-15.4;15.4;PERM;VPVS_SH60;-0.503;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-100;-16.19;16.19;GR;VPVS_SH60;0.737;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-100;-16.19;16.19;VSH;VPVS_SH60;0.66;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-100;-16.19;16.19;VSH;IP_SH60;0.658;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-100;-16.19;16.19;GR;IP_SH60;0.603;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-100;-16.19;16.19;PERM;VPVS_SH60;-0.55;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-100;-16.19;16.19;PERM;IP_SH60;-0.57;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-100;-16.19;16.19;POR;VPVS_SH60;-0.589;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-100;-16.19;16.19;POR;IP_SH60;-0.62;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
BERLIN-2;17.17;17.17;PERM;IP_SH60;0.324;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
BERLIN-2;17.17;17.17;PERM;VPVS_SH60;0.301;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
BERLIN-2;17.17;17.17;POR;IP_SH60;0.295;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
BERLIN-2;17.17;17.17;POR;VPVS_SH60;0.15;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
BERLIN-2;17.17;17.17;GR;IP_SH60;0;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
BERLIN-2;17.17;17.17;GR;VPVS_SH60;0;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
BERLIN-2;17.17;17.17;VSH;VPVS_SH60;-0.181;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
BERLIN-2;17.17;17.17;VSH;IP_SH60;-0.322;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-85;20.09;20.09;GR;IP_SH60;0.371;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-85;20.09;20.09;VSH;IP_SH60;0.367;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-85;20.09;20.09;VSH;VPVS_SH60;0.177;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-85;20.09;20.09;GR;VPVS_SH60;0.017;MTOMC - MTEE;POSITIVO;CONSISTENTE;SHIFT_30FT
LLANITO-85;20.09;20.09;PERM;IP_SH60;-0.217;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-85;20.09;20.09;POR;VPVS_SH60;-0.283;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-85;20.09;20.09;POR;IP_SH60;-0.348;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-85;20.09;20.09;PERM;VPVS_SH60;-0.406;MTOMC - MTEE;NEGATIVO;CONSISTENTE;SHIFT_30FT
LLANITO-7;-24.66;24.66;POR;VPVS_SH60;0.533;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-7;-24.66;24.66;PERM;VPVS_SH60;0.476;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-7;-24.66;24.66;POR;IP_SH60;0.195;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-7;-24.66;24.66;PERM;IP_SH60;0.101;MTOMC - MTEE;NEGATIVO;INCONSISTENTE;SHIFT_30FT
LLANITO-7;-24.66;24.66;GR;IP_SH60;-0.078;MTOMC - MTEE;POSITIVO;INCONSISTENTE;SHIFT_30FT
